,Date,User,Tweet
0,2023-04-12 23:02:00+00:00,LakersNation,"Dennis Schroder was happy to redeem himself last night after missing the same game-winning corner 3-pointer earlier in the season against the Hornets.
https://t.co/O6z4bDJWNW https://t.co/E4JaeupHWJ"
1,2023-04-12 22:05:00+00:00,LakersNation,"LeBron James had high praise for Rui Hachimura's competitiveness and desire to be great.
https://t.co/bGJoLTEzTm https://t.co/NuayOUDMje"
2,2023-04-12 21:02:00+00:00,LakersNation,"Anthony Davis explained what happened on the final play of regulation when he fouled Mike Conley and apologized to Dennis Schroder for taking away a game-winner.
https://t.co/V3rlA5DaRk https://t.co/jljrFOnPCX"
3,2023-04-12 20:01:00+00:00,LakersNation,"The rest of the schedule and TV info. for the #Lakers first-round series against the Grizzlies is now out:
https://t.co/KGpSp7sZ3H https://t.co/Ro8yiWuFMm"
4,2023-04-12 19:02:00+00:00,LakersNation,"LeBron James enjoyed being back in a 'playoff atmosphere' last night with the Lakers gaining some valuable experience even though it was an ugly win.
https://t.co/HDespJHeJc https://t.co/HaHNg7jaCU"
5,2023-04-12 18:02:00+00:00,LakersNation,"On this day in Lakers history, Kobe Bryant stepped to the line and knocked down a pair of free throws after tearing his Achilles. 💜💛
#MambaForever 
https://t.co/9aDI9TqLZH https://t.co/KkLopH3Hdd"
6,2023-04-12 17:03:00+00:00,LakersNation,"It wasn't pretty, but the Lakers survived the Play-In Tournament to advance to the first round of the postseason. Top highlights:
https://t.co/gme708Cfks https://t.co/LVv48jY9l2"
7,2023-04-12 16:02:00+00:00,LakersNation,"Game 1 of the Lakers' first round series against the Grizzlies is scheduled for Sunday.
https://t.co/KGpSp7sZ3H https://t.co/i0ikexVO4j"
8,2023-04-12 15:03:00+00:00,LakersNation,"""If we’re whole and healthy, we like our opportunity.”
https://t.co/aVZYcF8P0Y https://t.co/6rLkJ5Q82h"
9,2023-04-12 14:04:00+00:00,LakersNation,"Kyle Kuzma expressed confidence that his former team can get to the NBA Finals.
https://t.co/QWNYrwfEGT https://t.co/bCCsRgLEjI"
10,2023-04-12 13:05:00+00:00,LakersNation,"D'Angelo Russell on working to build chemistry with Anthony Davis in the pick-and-roll:
https://t.co/WCQLNyhjsp https://t.co/meQ8pWAeTb"
11,2023-04-12 06:08:40+00:00,LakersNation,AD said that Memphis didn't double him much in the regular season although he understands that could change this series.
12,2023-04-12 06:07:08+00:00,LakersNation,"Anthony Davis joked that Dennis Schroder got on him for messing up his game-winner, but he was just happy that the end result was a win."
13,2023-04-12 06:05:31+00:00,LakersNation,"Anthony Davis credited the home crowd for getting the #Lakers back into the game.

""It was fun. The energy was there. This is what you dream about... It was electric tonight. I can't wait until we come back home for our two home games, I know it's gonna be even louder."""
14,2023-04-12 05:58:34+00:00,LakersNation,https://t.co/QJwFW3oLzl
15,2023-04-12 05:45:47+00:00,LakersNation,"LeBron called the Grizzlies a really good team that is really well coached. He also pointed out their balance with Ja Morant being the ""head of the snake."""
16,2023-04-12 05:43:32+00:00,LakersNation,"LeBron pointed out that the analytics said the Lakers had a 0.3% chance of making the playoffs after starting out 2-10.

He said at that point, all they hoped for is a chance to compete for the Larry O'Brien Trophy and now they have it."
17,2023-04-12 05:28:25+00:00,LakersNation,"AD hurt his shoulder a bit and Dennis rolled the ankle, but Darvin Ham says they both ensured him that they were ok."
18,2023-04-12 05:27:26+00:00,LakersNation,Darvin Ham admits that he and his staff need to do a better job of moving Anthony Davis around to get him better looks knowing that the constant double teams are going to continue moving forward.
19,2023-04-12 05:23:54+00:00,LakersNation,"Darvin Ham says that he still has confidence in D'Angelo Russell and he told him that ""we're gonna need him"" moving forward and he expects him to bounce back against Memphis."
20,2023-04-12 05:21:17+00:00,LakersNation,"Darvin Ham:

""This game was the definition of having the 'next-play' mentality."""
21,2023-04-12 05:19:53+00:00,LakersNation,"Darvin Ham on Dennis Schroder:

""He lives for those type of moments... It's Dennis. It's classic Dennis. We're fortunate that he's on our team."""
22,2023-04-12 05:12:58+00:00,LakersNation,"The Lakers pick up the win in an exhausting overtime performance against the Wolves to claim the 7th seed, @Trevor_Lane and @Sean_Davi are breaking it down live: https://t.co/c5qOSpsrWC"
23,2023-04-12 05:05:00+00:00,LakersNation,"RECAP: #Lakers outlast Timberwolves in overtime to survive Play-In Tournament.
https://t.co/n5xle2FSCg https://t.co/ccXxadYlMU"
24,2023-04-12 05:02:04+00:00,LakersNation,"FINAL: #Lakers 108, Wolves 102

In a wild finish, LA manages to survive and will play Memphis in round 1.

Whew."
25,2023-04-12 05:01:12+00:00,LakersNation,"I -think- the Lakers are going to win.

-ducks-"
26,2023-04-12 05:00:21+00:00,LakersNation,TURNOVER WORKS.
27,2023-04-12 04:59:56+00:00,LakersNation,One more stop. Please.
28,2023-04-12 04:58:10+00:00,LakersNation,"I don't know about you guys, but I've been perfectly calm this entire game."
29,2023-04-12 04:56:31+00:00,LakersNation,Someone call this game an Uber.
30,2023-04-12 04:56:10+00:00,LakersNation,"LA is also trying to hand this game to Minnesota.

Luckily, Taurean Prince misses and Reaves goes to the line."
31,2023-04-12 04:53:35+00:00,LakersNation,"Timeout LA.

They lead 105-102."
32,2023-04-12 04:52:25+00:00,LakersNation,"And yet, ANOTHER turnover.

Minnesota handing this game to LA."
33,2023-04-12 04:51:20+00:00,LakersNation,"The Lakers force another turnover.

Way to dig in."
34,2023-04-12 04:48:55+00:00,LakersNation,"Everyone looks gassed but the Lakers lead 105-100.

Close this out."
35,2023-04-12 04:48:34+00:00,LakersNation,THERE WE GO AD
36,2023-04-12 04:46:50+00:00,LakersNation,"Fourth quarter and OT Dennis is the best player in the NBA, don't @ us."
37,2023-04-12 04:45:21+00:00,LakersNation,RUI.
38,2023-04-12 04:44:49+00:00,LakersNation,"Five more minutes.

Get it done, Lakers."
39,2023-04-12 04:41:56+00:00,LakersNation,Overtime.
40,2023-04-12 04:41:03+00:00,LakersNation,I am in utter disbelief.
41,2023-04-12 04:40:24+00:00,LakersNation,NO. WAY.
42,2023-04-12 04:38:56+00:00,LakersNation,M3NANC3.
43,2023-04-12 04:38:30+00:00,LakersNation,DENNIS. SCHRODER.
44,2023-04-12 04:37:59+00:00,LakersNation,"Just please take the last shot, Lakers."
45,2023-04-12 04:36:03+00:00,LakersNation,BOTH TEAMS ARE TRYING TO LOSE
46,2023-04-12 04:34:41+00:00,LakersNation,"You're taught to hit the floor.

That's not a foul. Come on."
47,2023-04-12 04:33:33+00:00,LakersNation,"COME ON, MAN."
48,2023-04-12 04:32:15+00:00,LakersNation,"Both teams are a combined 7-of-33 this quarter.

Good 'ole fashioned playoff basketball."
49,2023-04-12 04:31:40+00:00,LakersNation,PLEASE.
50,2023-04-12 04:29:32+00:00,LakersNation,TIE GAME.
51,2023-04-12 04:28:42+00:00,LakersNation,-prays harder-
52,2023-04-12 04:27:27+00:00,LakersNation,"Lakers and Wolves swap turnovers.

Come on, man."
53,2023-04-12 04:25:25+00:00,LakersNation,DLo and Reaves being 5-of-22 tonight is less than optimal.
54,2023-04-12 04:23:26+00:00,LakersNation,"Good look for Reaves but it doesn't go down.

Lakers down 95-90 with 4:18 left to play."
55,2023-04-12 04:21:56+00:00,LakersNation,AD's clearly hurt. Holding his side
56,2023-04-12 04:21:03+00:00,LakersNation,-prays hard-
57,2023-04-12 04:19:25+00:00,LakersNation,Mike Conley has been the difference tonight.
58,2023-04-12 04:16:10+00:00,LakersNation,EXCELLENT DEFENSE
59,2023-04-12 04:11:51+00:00,LakersNation,"ONE POSSESSION GAME.

Lakers down 89-86"
60,2023-04-12 04:10:19+00:00,LakersNation,"Keep pressuring the rim, Lakers."
61,2023-04-12 04:09:09+00:00,LakersNation,"AD gets an and-one, and the Wolves are out of fouls. 

Still time to get things going."
62,2023-04-12 04:08:05+00:00,LakersNation,5 fouls on KAT now.
63,2023-04-12 04:05:55+00:00,LakersNation,I would strongly prefer one here.
64,2023-04-12 04:05:20+00:00,LakersNation,"Death, taxes, Conley draining 3s."
65,2023-04-12 04:00:22+00:00,LakersNation,"End of 3Q: Wolves 86, #Lakers 79

LeBron is doing everything to give LA a win. One more quarter to do it."
66,2023-04-12 03:57:35+00:00,LakersNation,B3ASL3Y.
67,2023-04-12 03:56:17+00:00,LakersNation,"LeBron just drew KAT's fourth foul. 

Huge."
68,2023-04-12 03:53:41+00:00,LakersNation,"There we go, LA.

Lakers down 82-72 after LeBron find Troy in transition."
69,2023-04-12 03:50:53+00:00,LakersNation,Wolves can't miss.
70,2023-04-12 03:48:24+00:00,LakersNation,"I will choose to remain optimistic.

(Setting myself up for more hurt.)"
71,2023-04-12 03:44:44+00:00,LakersNation,Big welp. B2B 3s from the Wolves and the Lakers are down 76-61.
72,2023-04-12 03:43:00+00:00,LakersNation,Arena letting the referees hear it during that stoppage.
73,2023-04-12 03:41:50+00:00,LakersNation,LeBron! What a sequence
74,2023-04-12 03:38:02+00:00,LakersNation,"Successful challenge. We'll get a jump ball mid court, but more importantly AD avoids a third foul."
75,2023-04-12 03:35:54+00:00,LakersNation,"Darvin challenging the foul call on that Ant Edwards shot.

The foul was called on AD."
76,2023-04-12 03:34:33+00:00,LakersNation,Mike Conley is punishing the Lakers.
77,2023-04-12 03:32:09+00:00,LakersNation,"Focus up.

Second half is underway. #LakeShow"
78,2023-04-12 03:23:19+00:00,LakersNation,"LeBron and AD are a combined 12-of-23 from the field.

The rest of the Lakers? 8-of-26"
79,2023-04-12 03:15:30+00:00,LakersNation,"HALFTIME: Wolves 60, #Lakers 49

14-2 Minnesota run at the end of the second has LA looking at a double-digit deficit. Not great."
80,2023-04-12 03:13:05+00:00,LakersNation,"Uhm, what are we doing guys?"
81,2023-04-12 03:08:16+00:00,LakersNation,LEBRON WITH THE SAUCE
82,2023-04-12 03:07:52+00:00,LakersNation,"LA forces a turnover after the timeout.

Let's gooooooooo"
83,2023-04-12 03:03:48+00:00,LakersNation,"Here come the Lakers!

LA just down 44-43 after a run from Reaves and the starters"
84,2023-04-12 03:02:24+00:00,LakersNation,AND ONE. REAVES.
85,2023-04-12 03:01:25+00:00,LakersNation,Referees letting them play. Sheesh
86,2023-04-12 02:59:46+00:00,LakersNation,"2 quick fouls on KAT. 

Gotta keep going at him."
87,2023-04-12 02:57:27+00:00,LakersNation,That didn't last long as Reaves comes in.
88,2023-04-12 02:56:51+00:00,LakersNation,Looks like Dennis turned an ankle but he's staying in.
89,2023-04-12 02:55:17+00:00,LakersNation,"Lakers come out of the timeout with a timeout and a foul.

Ugh."
90,2023-04-12 02:51:16+00:00,LakersNation,"Finally a timeout as AD was waiting to check in.

Lakers trailing 40-31."
91,2023-04-12 02:48:36+00:00,LakersNation,"Yeah, I think some of these lineups are a little suspect."
92,2023-04-12 02:45:21+00:00,LakersNation,Anyone not named Anthony Davis is KAT food.
93,2023-04-12 02:44:29+00:00,LakersNation,"Lakers give up another 3, but LeBron finally gets downhill for the and-one.

Come on, King."
94,2023-04-12 02:40:28+00:00,LakersNation,"End of 1Q: Wolves 28, #Lakers 22

Outside shooting is the difference here, but LA's got time to fix things."
95,2023-04-12 02:39:58+00:00,LakersNation,Edwards with the block and the two teams are chirping.
96,2023-04-12 02:37:58+00:00,LakersNation,"Welcome back, Dennis!"
97,2023-04-12 02:36:15+00:00,LakersNation,"LeBron wisely goes back to Rui on the roll who draws a foul.

Love how he's played early on."
98,2023-04-12 02:32:07+00:00,LakersNation,Rui making an instant impact. He's helped the Lakers trim the deficit to 18-17.
99,2023-04-12 02:29:59+00:00,LakersNation,Rui wastes not time getting on the board as he nails the Lakers' first 3!
100,2023-04-12 02:25:58+00:00,LakersNation,"We've got our first timeout as LA trails 18-12.

Gotta settle in."
101,2023-04-12 02:25:42+00:00,LakersNation,AD vs. KAT is going to be fun.
102,2023-04-12 02:23:00+00:00,LakersNation,ANTHONY DAVIS
103,2023-04-12 02:20:46+00:00,LakersNation,AD just tried to murder someone. My lord
104,2023-04-12 02:19:39+00:00,LakersNation,Lakers are making it a point to crash the glass so far.
105,2023-04-12 02:17:46+00:00,LakersNation,"AD gets his first bucket over KAT.

Feed him every possession."
106,2023-04-12 02:15:48+00:00,LakersNation,"Take care of business.

Ball is up. #LakeShow"
107,2023-04-12 02:00:43+00:00,LakersNation,"Play-In Tournament. Lakers-Timberwolves. @_MatthewPeralta here sweating it out with y'all. Follow the staff and let's get this W:

@MMoreno1015 
@DStarkand 
@RyanWardLA 
@Trevor_Lane 
@_MatthewPeralta
@rongutterman24
@MarkAGunnels
@Sean_Davi 
@JosephDChapa
@GharibSports"
108,2023-04-12 01:35:00+00:00,LakersNation,"PREVIEW: #Lakers host the Timberwolves in the Play-In Tournament looking to earn the seventh seed and a first-round matchup against the Grizzlies.
https://t.co/BeBqZtMNEL https://t.co/ACf8I6VWEh"
109,2023-04-12 01:04:00+00:00,LakersNation,"On this day in #Lakers history, Lamar Odom had a triple-double against the Warriors.
https://t.co/2kEdnTMsgi https://t.co/YCfusUMChZ"
110,2023-04-12 00:03:00+00:00,LakersNation,"Now that the regular season has come to an end, Austin Reaves likes the opportunity the Lakers have in front of them if they can stay healthy.
https://t.co/aVZYcF9mQw https://t.co/kb2fSsWR5m"
111,2023-04-11 23:02:00+00:00,LakersNation,"D'Angelo Russell admitted that he and Anthony Davis are still working to build chemistry in the pick-and-roll.
https://t.co/WCQLNyhjsp https://t.co/AQyBH9zubJ"
112,2023-04-11 22:03:00+00:00,LakersNation,"LeBron James explained why he has enjoyed playing with Rui Hachimura so much.
https://t.co/bGJoLTEzTm https://t.co/XSeZNSsbjn"
113,2023-04-11 21:02:00+00:00,LakersNation,"Anthony Davis was named Western Conference Player of the Month for March and April. 👏
https://t.co/tdyOPG3US5 https://t.co/SL3QfLP43G"
114,2023-04-11 20:30:00+00:00,LakersNation,"WATCH: @Sean_Davi broke down how the #Lakers can slow down the Timberwolves' offense tonight.

https://t.co/CWl15v2V2u"
115,2023-04-11 20:04:00+00:00,LakersNation,"Darvin Ham explained the reasoning behind the #Lakers signing Shaquille Harrison and Tristan Thompson.
https://t.co/sgLU8OSf6e https://t.co/JWkaiE0duU"
116,2023-04-11 19:03:00+00:00,LakersNation,"Kyle Kuzma believes the #Lakers can make the NBA Finals:
https://t.co/QWNYrwfEGT https://t.co/5y2BbrKUKo"
117,2023-04-11 18:02:00+00:00,LakersNation,"VIDEO: @Trevor_Lane and @rongutterman24 get you ready for Lakers-Timberwolves tonight.

https://t.co/do1XgUQbbt"
118,2023-04-11 17:03:00+00:00,LakersNation,"Malik Beasley is looking for 'revenge' against his former team tonight.
https://t.co/vuO6ljXMIp https://t.co/YxnlqVzjOi"
119,2023-04-11 16:02:00+00:00,LakersNation,"Anthony Davis stressed the importance of winning tonight in order to have more rest before the playoffs.
https://t.co/Vtf1sTBJqW https://t.co/SoJNk1bIrr"
120,2023-04-11 15:03:00+00:00,LakersNation,"LeBron James stressed the importance of the #Lakers locking back in on the defensive end of the floor.
https://t.co/BB3FdvT5QU https://t.co/fHsHYPTGD7"
121,2023-04-11 14:04:00+00:00,LakersNation,"Here's what D'Angelo Russell had to say about facing his former team in the Play-In Tournament:
https://t.co/TO8yfrE4Au https://t.co/yPZkC1rwXP"
122,2023-04-11 13:05:00+00:00,LakersNation,"#Lakers will be facing a Timberwolves team without Rudy Gobert and Jaden McDaniels tonight.
https://t.co/oZMVHQHVQ8 https://t.co/spJCJkjVPl"
123,2023-04-11 01:05:00+00:00,LakersNation,"On this day in Lakers history, Glen Rice hit a buzzer-beater and then beat the SuperSonics in overtime.
https://t.co/HwgiuDgLnq https://t.co/jAz7t00Ycb"
124,2023-04-11 00:02:00+00:00,LakersNation,"Darvin Ham is not focused on the Timberwolves' drama ahead of tomorrow's big game.
https://t.co/SAzXEQByhL https://t.co/htih1r2lHl"
125,2023-04-10 23:02:00+00:00,LakersNation,"Ahead of tomorrow's big Play-In Game, we took a look back at the three regular season meetings between the #Lakers and Timberwolves.
https://t.co/zGLtmP6ewp https://t.co/gUsnENq35d"
126,2023-04-10 22:03:00+00:00,LakersNation,"Russell Westbrook was finally asked about his Lakers tenure but said he is focused on 'looking forward.'
https://t.co/WDTNEO6XTg https://t.co/ngCyW7AclZ"
127,2023-04-10 21:02:00+00:00,LakersNation,"#Lakers have slipped up on the defensive end of the floor recently, but LeBron James stressed the importance of locking back in on that end.
https://t.co/BB3FdvT5QU https://t.co/PsgC5L2BiS"
128,2023-04-10 20:05:00+00:00,LakersNation,"Malik Beasley on getting out of his shooting slump in time for the playoffs:
https://t.co/alrE2Jh91Z https://t.co/EByVYXTNv7"
129,2023-04-10 19:01:00+00:00,LakersNation,"Understanding everything that is already at stake, D'Angelo Russell doesn't feel extra motivation going up against his former team in the Play-In Tournament.
https://t.co/TO8yfrE4Au https://t.co/rtxNBUulVl"
130,2023-04-10 17:33:10+00:00,LakersNation,"JUST IN: Timberwolves will be without Rudy Gobert and Jaden McDaniels tomorrow against the #Lakers.
https://t.co/oZMVHQHVQ8 https://t.co/n8wuOK8C2Y"
131,2023-04-10 17:03:00+00:00,LakersNation,"Here's what Darvin Ham had to say about the additions of Shaquille Harrison and Tristan Thompson:
https://t.co/sgLU8ORHgG https://t.co/NsTMByfZGx"
132,2023-04-10 16:02:00+00:00,LakersNation,"HIGHLIGHTS: LeBron James caught fire from deep to help the Lakers beat the Jazz in the regular season finale.
https://t.co/Cfi8EMQXB4 https://t.co/YAMTps0uHm"
133,2023-04-10 15:03:00+00:00,LakersNation,"Darvin Ham spoke to how much he has enjoyed coaching Austin Reaves.
https://t.co/X3Os2qXmln https://t.co/SK5YAIA5yf"
134,2023-04-10 14:04:00+00:00,LakersNation,"#Lakers are set to host the Timberwolves on Tuesday night in the first Play-In Tournament matchup.
https://t.co/kw3nHZtuFB https://t.co/Who1OLpHKH"
135,2023-04-10 13:05:00+00:00,LakersNation,"#Lakers added Tristan Thompson and Shaquille Harrison to their roster, waiving Davon Reed.
https://t.co/bwzDtDxxCL https://t.co/SJuBk0MRfw"
136,2023-04-10 03:02:00+00:00,LakersNation,"ICYMI: @Trevor_Lane broke down the #Lakers signings of Tristan Thompson and Shaquille Harrison.

https://t.co/irbPqfIE21"
137,2023-04-10 02:04:00+00:00,LakersNation,"#Lakers are the first team in nearly two decades to start a season 2-10 and finish above .500. 😳
https://t.co/7Teybf6ycK https://t.co/Lsz2BWkwwK"
