,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,FG%,3P%,FTA,TRB,AST,STL,BLK,TOV,FG%,3P%,FTA,TRB,AST,STL,BLK,TOV
1,2022/10/18,@,GSW,L,0.426,0.25,25,48,23,12,4,21,0.455,0.356,23,48,31,11,4,18
2,2022/10/20,,LAC,L,0.351,0.2,26,38,23,13,5,10,0.463,0.31,31,58,18,7,7,22
3,2022/10/23,,POR,L,0.446,0.182,20,40,26,9,9,13,0.44,0.37,27,52,19,6,5,19
4,2022/10/26,@,DEN,L,0.444,0.267,16,47,25,8,4,14,0.457,0.265,21,54,34,12,5,11
5,2022/10/28,@,MIN,L,0.416,0.31,27,55,20,8,5,22,0.414,0.325,24,49,27,13,8,10
6,2022/10/30,,DEN,W,0.479,0.433,20,51,24,5,5,8,0.427,0.375,18,48,24,3,8,9
7,2022/11/2,,NOP,W,0.459,0.278,23,56,30,6,8,17,0.461,0.32,21,51,35,10,5,13
8,2022/11/4,,UTA,L,0.482,0.423,28,40,22,6,6,11,0.505,0.425,10,48,31,8,3,8
9,2022/11/6,,CLE,L,0.46,0.296,21,43,24,4,4,16,0.44,0.25,36,48,19,7,6,12
10,2022/11/7,@,UTA,L,0.488,0.375,30,33,15,7,5,16,0.558,0.421,22,41,30,10,7,14
11,2022/11/9,@,LAC,L,0.455,0.313,17,43,26,7,2,15,0.506,0.364,26,41,24,10,7,15
12,2022/11/11,,SAC,L,0.477,0.4,26,41,22,11,5,14,0.517,0.333,21,40,27,10,4,15
13,2022/11/13,,BRK,W,0.484,0.407,20,45,25,3,2,9,0.45,0.259,31,41,22,5,5,12
14,2022/11/18,,DET,W,0.551,0.35,40,44,29,2,7,16,0.467,0.324,32,37,27,9,4,11
15,2022/11/20,,SAS,W,0.529,0.353,24,54,29,5,2,15,0.39,0.206,10,44,26,7,2,10
16,2022/11/22,@,PHO,L,0.424,0.182,35,45,19,8,7,17,0.471,0.471,5,49,23,8,7,15
17,2022/11/25,@,SAS,W,0.482,0.296,20,49,28,12,5,21,0.38,0.182,16,50,21,11,3,16
18,2022/11/26,@,SAS,W,0.58,0.515,37,39,25,4,7,17,0.505,0.486,20,47,33,8,5,10
19,2022/11/28,,IND,L,0.43,0.355,31,57,23,3,7,14,0.41,0.347,16,49,29,6,10,9
20,2022/11/30,,POR,W,0.495,0.378,26,48,28,5,6,7,0.467,0.333,21,45,21,4,5,10
21,2022/12/2,@,MIL,W,0.542,0.423,24,44,32,6,4,4,0.532,0.395,15,42,29,2,5,9
22,2022/12/4,@,WAS,W,0.542,0.385,22,51,34,5,5,15,0.467,0.256,15,44,24,10,8,10
23,2022/12/6,@,CLE,L,0.427,0.167,24,43,16,4,6,16,0.516,0.259,17,44,25,11,3,7
24,2022/12/7,@,TOR,L,0.425,0.212,35,46,16,6,3,15,0.443,0.279,24,54,25,10,5,11
25,2022/12/9,@,PHI,L,0.5,0.355,30,37,29,12,4,19,0.533,0.45,22,42,30,14,2,21
26,2022/12/11,@,DET,W,0.548,0.423,27,42,31,8,4,11,0.462,0.378,17,40,28,9,3,12
27,2022/12/13,,BOS,L,0.473,0.276,30,49,23,7,9,11,0.442,0.396,16,51,27,6,2,14
28,2022/12/16,,DEN,W,0.527,0.364,24,45,29,11,4,14,0.481,0.333,28,39,25,7,4,19
29,2022/12/18,,WAS,W,0.5,0.407,22,43,29,4,5,9,0.463,0.256,24,48,24,5,6,10
30,2022/12/19,@,PHO,L,0.448,0.429,17,38,13,5,5,14,0.495,0.513,24,51,21,10,5,8
31,2022/12/21,@,SAC,L,0.5,0.458,30,39,25,6,5,15,0.505,0.362,28,46,29,6,2,12
32,2022/12/23,,CHO,L,0.522,0.432,22,42,27,5,1,17,0.553,0.39,18,41,30,11,5,16
33,2022/12/25,@,DAL,L,0.488,0.321,32,35,18,5,2,8,0.524,0.409,25,38,31,6,3,11
34,2022/12/27,@,ORL,W,0.544,0.395,17,46,32,4,2,13,0.5,0.357,25,37,25,8,5,11
35,2022/12/28,@,MIA,L,0.481,0.361,15,44,25,2,4,24,0.478,0.314,16,37,20,14,4,5
36,2022/12/30,@,ATL,W,0.542,0.313,18,55,34,7,6,16,0.475,0.289,20,41,22,6,5,10
37,2023/1/2,@,CHO,W,0.484,0.333,30,53,26,6,5,14,0.452,0.344,29,47,24,8,7,14
38,2023/1/4,,MIA,W,0.494,0.296,30,42,20,10,4,17,0.453,0.276,21,43,24,9,4,13
39,2023/1/6,,ATL,W,0.548,0.457,16,51,33,6,5,16,0.458,0.29,22,39,24,8,5,12
40,2023/1/7,@,SAC,W,0.61,0.429,33,38,26,4,3,17,0.523,0.438,37,34,25,5,4,14
41,2023/1/9,@,DEN,L,0.441,0.286,25,44,20,12,2,13,0.465,0.357,17,55,29,7,11,17
42,2023/1/12,,DAL,L,0.393,0.244,27,56,24,7,4,9,0.5,0.333,17,54,25,4,9,16
43,2023/1/15,,PHI,L,0.552,0.3,13,38,28,4,6,9,0.506,0.353,19,38,29,3,7,9
44,2023/1/16,,HOU,W,0.538,0.364,35,39,23,4,5,2,0.49,0.367,31,48,28,0,7,8
45,2023/1/18,,SAC,L,0.483,0.324,18,36,26,9,3,6,0.494,0.3,27,47,23,3,5,11
46,2023/1/20,,MEM,W,0.409,0.317,41,47,24,7,7,9,0.422,0.31,40,63,24,6,7,14
47,2023/1/22,@,POR,W,0.523,0.333,27,51,23,5,5,12,0.43,0.37,25,38,24,5,7,11
48,2023/1/24,,LAC,L,0.442,0.4,24,32,21,8,4,6,0.607,0.5,15,47,25,4,9,12
49,2023/1/25,,SAS,W,0.444,0.303,30,56,25,12,9,19,0.377,0.235,18,48,22,11,2,14
50,2023/1/28,@,BOS,L,0.448,0.286,20,47,30,4,0,12,0.464,0.325,39,46,18,8,9,12
51,2023/1/30,@,BRK,L,0.393,0.379,37,53,24,1,3,14,0.474,0.39,19,50,24,8,9,9
52,2023/1/31,@,NYK,W,0.516,0.333,31,44,29,6,1,14,0.449,0.206,32,45,27,6,3,9
53,2023/2/2,@,IND,W,0.457,0.273,31,51,29,8,5,13,0.484,0.39,6,46,30,8,6,16
54,2023/2/4,@,NOP,L,0.479,0.344,33,44,30,4,3,9,0.52,0.3,20,48,28,6,0,10
55,2023/2/7,,OKC,L,0.576,0.452,26,41,27,8,3,20,0.521,0.5,20,37,32,12,2,12
56,2023/2/9,,MIL,L,0.472,0.389,21,43,23,2,2,12,0.455,0.255,18,51,24,5,7,10
57,2023/2/11,@,GSW,W,0.449,0.32,26,52,19,4,4,15,0.417,0.273,12,43,31,11,6,15
58,2023/2/13,@,POR,L,0.442,0.324,21,56,24,6,5,13,0.474,0.489,13,42,27,7,9,7
59,2023/2/15,,NOP,W,0.53,0.27,36,43,32,5,8,10,0.438,0.28,24,50,24,5,3,15
60,2023/2/23,,GSW,W,0.488,0.533,34,58,30,8,3,14,0.381,0.286,21,48,24,10,3,10
61,2023/2/26,@,DAL,W,0.433,0.176,28,56,25,9,4,10,0.419,0.408,14,48,21,5,5,16
