,Date,User,Tweet
0,2023-04-12 20:28:37+00:00,LakersReporter,👇🏻👇🏻
1,2023-04-12 06:20:45+00:00,LakersReporter,"Anthony Davis (24 points, 15 boards, 4 assists, 3 blocks, 2 steals) was the only starter in the positive, at +9, in LAL’s 6-point win. 

He acknowledged his mistake fouling Conley, but of course, the Lakers aren’t even in the game without him. 

Walkoff here:"
2,2023-04-12 05:52:52+00:00,LakersReporter,"The Lakers have been playing important games to battle out of the No. 13 seed for a while. It was very significant to them to get a win tonight to ensure some crucial rest that would have evaporated had they lost tonight, and needed to play on Friday."
3,2023-04-12 05:51:13+00:00,LakersReporter,"Game 1 at Memphis is at 12 p.m. Pacific, on ABC. 

Pregame show on @SpectrumSN at 11 a.m."
4,2023-04-12 05:20:53+00:00,LakersReporter,"The Lakers, who started 2-10 and were 26-32 midway through February in the No. 13 seed, clawed their way up to the No. 7 seed, secured tonight against Minnesota.

They advance to play No. 2 Memphis in Round 1, also eliminating a pick swap with New Orleans."
5,2023-04-12 05:19:16+00:00,LakersReporter,"Darvin Ham said the Lakers chose to prioritize Anthony Edwards defensively, and did effectively limit him to really tough attempts, as he went 3 for 17.

LAL did pay in other ways, giving up open shots elsewhere that Minnesota punished them with, up until the 4th Q and OT."
6,2023-04-12 04:59:35+00:00,LakersReporter,"Schröder, who hasn't sat down since entering the game midway through the 3rd Q (other than the last second of regulation after his corner 3 put LAL up 3) calmly hit 2 FT's to put LAL up 5 with 8.4 seconds left.

Wolves used their last time out to advance the ball."
7,2023-04-12 04:56:20+00:00,LakersReporter,"LAL just barely averted disaster again with a second inbounds turnover in a critical moment. But Prince missed a 3, and it's LAL ball still up 3 with 11.3 left."
8,2023-04-12 04:54:17+00:00,LakersReporter,"LAL have the ball up 3 with 18.8 seconds to play in OT.

Wolves will need to foul after likely attempting to get a steal or turnover. 

Lakers FT's tonight:
LeBron 3 for 3
Davis 3 for 4
Reaves 3 for 3
Schröder 6 for 6
Hachimura 4 for 4"
9,2023-04-12 04:44:49+00:00,LakersReporter,Still 5 PF's on Towns. We'll see if LAL go at him.
10,2023-04-12 04:43:00+00:00,LakersReporter,"Anthony Davis basically shut down the Wolves offense in the 4th Q, holding Minnesota to 9 points with 0.1 seconds left ... but he fouled Mike Conley attempting a game-tying 3, and Conley hit all 3 to force OT. Shades of the Maxi Kleber foul."
11,2023-04-12 04:37:11+00:00,LakersReporter,"Still no points in the final 6 minutes for Minnesota.

LAL's defense has been tremendous, with Davis destroying all kinds of actions."
12,2023-04-12 04:35:15+00:00,LakersReporter,"Minnesota has not scored since the 6:01 mark of the 4th Q, when they led 95-88.

It's now 95-95.

Yet, the Lakers have missed several opportunities to take the lead, and a turnover on the inbounds pass gives MIN the ball with 30.3 seconds left."
13,2023-04-12 04:22:56+00:00,LakersReporter,"Towns has had 5 PF's for the entire quarter, and the Lakers haven't been attacking him."
14,2023-04-12 04:17:12+00:00,LakersReporter,"The Lakers have attempted 43 shots in Minnesota's paint, hitting only 24 against a physical Wolves defense tonight. 

Wolves have attempted 32 shots in the paint, hitting 16.

FT discrepancy is 16 attempts for LAL, and 12 for the Wolves."
15,2023-04-12 04:14:07+00:00,LakersReporter,"Lakers have gotten a huge lift from Dennis Schröder tonight. He has 12 points in his 19 minutes,  with a pair of assists, and is a +10, trailing only Hachimura's +12."
16,2023-04-12 04:10:44+00:00,LakersReporter,"Big swing. Towns got his 5th PF trying to battle Davis on the glass, and Davis scored plus the foul on the ensuing inbounds play.

After a stop, Schröder drew the 5th Minnesota team foul and hit 2 FT's.

LAL within 5 at 89-84, with 8:46 to play."
17,2023-04-12 04:03:36+00:00,LakersReporter,"LAL, down by as many as 15, trimmed the margin to 7 entering the 4th Q.

Davis has played 26 minutes so far, and LeBron 30. 

Towns has 4 PF's for Minnesota, with nobody else in foul trouble."
18,2023-04-12 03:45:51+00:00,LakersReporter,"Wolves are now 12 for 23 from 3 as a team, led by: Conley 4 for 4; Prince 3 for 3; and Towns 2 for 3.

Lakers haven't responded as they needed to out of halftime, and face their biggest deficit of 15 midway through the 3rd Q."
19,2023-04-12 03:17:06+00:00,LakersReporter,"A very, very rough close to the 2nd Q from the Lakers. 

They rallied from an early 11-point deficit to go up 47-46 at the 3:02 mark, but Minnesota responded with a 14-2 run to go up 60-49 at the half, including a 9-0 close."
20,2023-04-12 03:10:51+00:00,LakersReporter,"LAL got in foul trouble early in the 2nd Q with a few unnecessary fouls away from the rim, and have now sent Wolves to the FT line twice in the bonus on reach ins. 

Wolves back up 4 after LAL had rallied to take the lead."
21,2023-04-12 03:05:25+00:00,LakersReporter,"A personal 5-0 run from Austin Reaves has LAL within a single point at 44-43, after a rough start for various reasons had them down by as many as 11.

Davis swatted a Wolves shot at the rim between Reaves buckets, sending LeBron out in transition."
22,2023-04-12 03:01:38+00:00,LakersReporter,"Lots of contact allowed inside tonight, and the Lakers will have to adjust. Only 5 free throw attempts for the NBA leaders thus far, to Minnesota's 8."
23,2023-04-12 03:00:04+00:00,LakersReporter,"Two quick fouls on Karl Anthony-Towns here. Minnesota's suffering from a serious lack of depth in the frontcourt with Gobert's suspension and Naz Reid's injury.

LAL within 6 with 6:14 to play in the 2nd Q."
24,2023-04-12 02:51:54+00:00,LakersReporter,"More of the same, as the Lakers continue not to get out to Minnesota's 3-point shooters - their best threat tonight. Wolves are now 7 for 12 from 3, and shooting 65.2% overall, to LAL's 40.6% (2 of 8 from 3).

Wolves lead 40-31 with 8:17 to play in the 2nd Q."
25,2023-04-12 02:41:25+00:00,LakersReporter,"Two defensive breakdowns from LAL late in the 1st Q left Prince wide open for a pair of 3's, and he hit them both to help Minnesota to a 28-22 lead.

Wolves were hot all period, going 11 for 17, and 5 of 9 from 3. LAL were just 9 for 26, and 2 for 7."
26,2023-04-12 02:26:32+00:00,LakersReporter,"Lakers are getting good shots, but just missing them early. They're 6 for 19 overall, and 0 for 4 from 3, with 0 attempted free throws in a physical game.

Minnesota's hitting most everything, now 7 for 9, and 3 for 4 from 3, to lead 18-12."
27,2023-04-12 02:22:40+00:00,LakersReporter,Great crowd.
28,2023-04-12 00:47:29+00:00,LakersReporter,"Lots of high lottery picks in the starting lineup tonight, with four No. 1 picks (LeBron - 2003; AD - 2012; Karl Anthony-Towns -  2015; Anthony Edwards - 2020), a No. 2 (D’Angelo Russell - 2016) and a No. 4 (Mike Conley, 2007)."
29,2023-04-12 00:25:32+00:00,LakersReporter,"Darvin Ham said they have a plan for the rotation in this play-in setting, but will adjust according to how the game goes as far as shortening it. 

Regardless of who’s in the floor, he said: “We need to be initiators, not responders” to “take advantage of the opportunity.”"
30,2023-04-11 21:12:53+00:00,LakersReporter,"Anthony Davis averaged 26.2 points (56.9% FG’s), an NBA-best 12.5 rebounds, 3.1 assists and 1.9 blocks. The Lakers were a league-best 14-6 through March and April. Davis scored in double figures in 17 of his 18 games and also dominated defensively."
31,2023-04-11 18:34:24+00:00,LakersReporter,New pod previewing tonight’s matchup: 👇🏻👇🏻
32,2023-04-11 18:33:55+00:00,LakersReporter,"Lakers vs. Wolves in the No. 7 vs. No. 8 play-in game from Los Angeles, Three Things to Know: 

https://t.co/nON4aiAGee"
33,2023-04-10 23:30:57+00:00,LakersReporter,"LeBron James, Anthony Davis and D’Angelo Russell are all listed as “probable” for tomorrow’s play-in game.

Dennis Schröder is no longer on the injury report after missing the last two games."
34,2023-04-10 20:06:23+00:00,LakersReporter,"New pod breaking down the Lakers big post-deadline run to move from 13th to 7th, ahead of Tuesday’s play-in game: 👇🏻👇🏻"
35,2023-04-09 22:11:37+00:00,LakersReporter,"The Lakers secure the No. 7 seed and will play the No. 8 Timberwolves on Tuesday night.

The winner of that game advances to face No. 2 Memphis in Round 1. The loser of that game will host the winner of No. 9 (New Orleans) and No. 10) for the right to play No. 1 Denver."
36,2023-04-09 22:00:18+00:00,LakersReporter,"The Lakers have secured the No. 7 seed, and will host the winner of Minnesota and New Orleans.

Wolves currently lead 109-104 with 47.6 seconds to play. 

The winner of that game, on Tuesday, advances to face Memphis in Round 1."
37,2023-04-09 21:43:03+00:00,LakersReporter,"Clippers and Wolves win: Lakers play Wolves as the No. 7 seed.
Clippers and Pelicans win: Lakers play Pelicans as the No. 7 seed.
Pelicans win and Clippers lose: Lakers play Clippers as the No. 8 seed."
38,2023-04-09 21:41:48+00:00,LakersReporter,"Make it 8 triples for LeBron, after he added another to reach 36 points.

Lakers up 128-117 with 39.7 left.

With the LAC/PHX and MIN/NOP games literally both tied right now, whom LAL play on Tuesday remains up in the air."
39,2023-04-09 21:40:18+00:00,LakersReporter,"LeBron's 7th 3-pointer of the night should be the dagger for LAL, who lead 125-117 with 1 minute to play."
40,2023-04-09 21:17:01+00:00,LakersReporter,"Other than Anthony Davis, it was a very poor defensive quarter for the Lakers, who allowed a 39-point 3rd to the short-handed but hard-charging Jazz.

LAL's 2nd unit has struggled today, and the once 14-point lead has been trimmed to 99-95."
41,2023-04-09 21:04:10+00:00,LakersReporter,"Anthony Davis has been single-handedly destroying Utah's offense in the last several minutes. Blocks, steals, deflections, and so on.

He has 4 blocks and 3 steals in his 26 minutes."
42,2023-04-09 20:31:45+00:00,LakersReporter,"A 12-2 run from LAL's starters, capped by Russell's 2nd 3, has the Lakers back up 11 at 65-54 late in the 2nd Q."
43,2023-04-09 20:28:02+00:00,LakersReporter,"Utah's players, those that haven't been shut down and thus in street clothes, are going extremely hard on both ends, constantly sprinting in transition. LAL won't be able to let their foot off the pedal today."
44,2023-04-09 20:23:47+00:00,LakersReporter,"LAL aren't getting the ball to Anthony Davis enough, especially in the non-LeBron units. 

Davis has 5 FGA's with 4:39 to go in the 2nd Q, amidst a Utah run."
45,2023-04-09 20:06:32+00:00,LakersReporter,"Scratch that: an LAC LOSS and an NOP win would make the Lakers the No. 8 seed, since the Pelicans own that 3-way tiebreaker (LAC would be the 7, LAL the 8)."
46,2023-04-09 20:04:45+00:00,LakersReporter,"All LAL can control  is not having to leave L.A. (with a win).

Only path to the 6 seed includes GSW losing, and they're up 55-27.

LAL are No. 7 w/an LAC win, though LAC trail PHX 28-19.

LAL would be No. 8 with an LAC win and NOP (up 26-16) win."
47,2023-04-09 19:51:44+00:00,LakersReporter,"Strong start from LAL's opening group, especially LeBron (three triples), as they hold a 17-7 lead with the first subs - Beasley and Brown - checking in."
48,2023-04-09 19:45:43+00:00,LakersReporter,"LeBron was especially locked in during his pregame warmup (first pointed out to me by @AaronLarsuel) ... he even threw himself an alley-oops after the Anthem.

His B2B 3's have the Lakers up 10-3 in to the first time out."
49,2023-04-09 18:22:34+00:00,LakersReporter,Dennis Schröder has been downgraded to out for today’s game due to right Achilles soreness.
50,2023-04-09 17:56:28+00:00,LakersReporter,"Ham on one of LAL’s roster moves: “Shaquille Harrison can score, play-make and guard multiple positions; he’s played real NBA minutes and we saw opportunity if anything should happen health wise that we can throw right into the mix.” Also familiar w/system thx to @SouthBayLakers."
51,2023-04-09 17:53:31+00:00,LakersReporter,"Darvin Ham expects everybody to be available today against Utah, with the possible exception of Dennis Schröder, whose status has yet to be determined."
52,2023-04-08 05:13:44+00:00,LakersReporter,"All the Lakers playoff scenarios are updated here:
 https://t.co/Eab6GyDGhB"
53,2023-04-08 05:03:53+00:00,LakersReporter,"The Lakers have secured, at worst, a spot in the 7 vs. 8 play-in game.

They can still technically get to 5th (LAL W, LAC 0-2, GSW L, NOP L), or 6th (LAL W, LAC 1-1, GSW L, NOP L).

There are other permutations with 3- and 4-way ties."
54,2023-04-08 04:37:53+00:00,LakersReporter,"Russell just drilled his 4th, 5th and 6th 3's to put the game away. LAL up 121-105 in the final minute."
55,2023-04-08 04:23:38+00:00,LakersReporter,"LAL's first double-digit lead comes at the 7:34 mark, on a LeBron 3, LAL's 15th, which capped an 11-0 run.  

It's 107-96."
56,2023-04-08 04:20:14+00:00,LakersReporter,"Monty Williams was fined $20K by the NBA for public criticism of officials after LAL beat PHX on March 22, when LAL attempted 46 FT's, including 13 from Reaves. Williams just got a technical foul for complaining, presumably about a foul drawn by Reaves (his first FT's tonight)."
